ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
20,20,20,21,21,22,16,25,42,42,23
24,24,24,20,20,24,25,24,44,44,25
26,26,26,27,27,18,23,25,39,39,24
21,21,21,22,22,22,23,28,39,39,18
21,21,21,23,23,25,29,28,39,39,27
26,26,26,27,27,24,27,24,42,42,27
23,23,23,22,22,20,20,23,35,35,24
24,24,24,21,21,24,21,23,36,36,23
25,25,25,23,23,26,22,27,37,37,27
25,25,25,23,23,27,25,23,37,37,24
21,21,21,25,25,21,27,27,39,39,24
25,25,25,26,27,27,24,22,42,42,23
25,25,25,23,23,30,27,29,42,42,23
29,29,29,30,28,30,31,26,42,42,31
19,19,19,18,17,24,17,24,41,41,22
28,28,28,24,24,22,22,23,41,41,27
19,19,19,19,19,17,16,31,42,42,22
28,28,28,28,28,27,24,28,42,42,26
28,28,28,29,30,28,27,24,42,42,30
25,25,25,22,23,22,26,25,46,46,22
19,19,19,21,20,25,23,29,46,46,22
29,29,29,30,30,23,29,29,44,44,29
36,36,36,37,35,25,33,31,42,42,35
28,28,28,26,26,28,30,21,42,42,30
26,26,26,25,25,27,26,30,42,42,32
26,26,26,27,26,27,27,29,42,42,27
18,18,18,18,19,30,20,28,41,41,14
25,25,25,25,29,27,20,22,41,41,27
29,29,29,28,28,26,27,27,42,42,27
18,18,18,19,18,22,20,21,42,42,15
21,21,21,20,20,24,26,42,42,42,21
25,25,25,28,27,27,20,42,42,42,28
26,26,26,28,28,26,29,41,41,41,25
23,23,23,25,24,19,22,41,41,41,23
23,23,23,25,24,19,24,42,42,42,27
23,23,23,24,25,25,21,42,42,42,20
28,28,28,26,27,23,29,42,42,42,27
27,27,27,22,23,23,27,42,42,42,24
27,27,27,28,27,19,22,41,41,41,28
24,24,24,27,27,27,25,41,41,41,25
22,22,22,21,21,27,22,41,41,41,21
26,26,26,28,28,30,28,38,38,38,28
23,23,23,24,24,25,27,38,38,38,27
26,26,26,26,27,24,25,38,38,38,26
24,24,24,26,26,30,28,37,37,37,23
31,31,31,31,31,26,29,37,37,37,31
25,25,25,27,27,20,26,37,37,37,25
23,23,23,23,24,22,22,38,38,38,23
32,32,32,32,30,19,32,38,38,38,34
27,27,27,27,27,22,25,38,38,38,25
28,28,28,26,25,28,25,37,37,37,30
19,19,19,18,20,21,19,37,37,37,20
32,32,32,35,34,21,31,37,37,37,32
29,29,29,27,26,30,28,38,38,38,29
26,26,26,22,27,26,30,38,38,38,25
26,26,26,28,25,26,27,38,38,38,25
23,23,23,19,19,26,25,37,37,37,27
23,23,23,23,24,20,27,36,36,36,24
26,26,26,25,23,22,25,33,33,33,28
31,31,31,27,29,23,29,34,34,34,29
21,21,21,20,22,30,21,34,34,34,22
26,26,26,29,30,22,27,35,35,35,27
23,23,23,24,24,25,24,37,37,37,23
26,26,26,26,31,22,22,37,37,37,29
26,26,26,26,21,17,25,37,37,37,26
20,20,20,17,18,23,21,38,38,38,21
21,21,21,22,24,25,25,38,38,38,24
32,32,32,33,31,26,35,38,38,38,31
25,25,25,23,21,26,25,37,37,37,22
20,20,20,18,19,22,17,37,37,37,22
28,28,28,26,27,26,29,37,37,37,27
29,29,29,29,30,22,29,35,35,35,30
29,29,29,25,25,26,27,34,34,34,28
22,22,22,22,23,23,22,33,33,33,21
26,26,26,25,24,27,27,35,35,35,25
27,27,27,27,28,29,26,33,33,33,25
30,30,30,32,30,28,26,37,37,37,32
22,22,22,20,21,21,24,38,38,38,21
23,23,23,25,24,21,23,38,38,38,25
29,29,29,27,28,29,29,35,35,35,27
24,24,24,23,23,23,23,33,33,33,26
23,23,23,21,22,29,25,33,33,33,25
28,28,28,26,27,28,27,35,35,35,28
20,20,20,21,20,23,21,34,34,34,20
34,34,34,31,31,36,36,34,34,34,35
22,22,22,22,22,18,23,33,33,33,26
26,26,26,24,28,28,25,33,33,33,27
26,26,26,27,28,28,26,33,33,33,28
27,27,27,27,27,24,25,33,33,33,24
24,24,24,23,22,19,22,34,34,34,24
27,27,27,24,24,29,29,34,34,34,29
24,24,24,26,23,26,23,33,33,33,23
18,18,18,21,20,23,19,33,33,33,19
27,27,27,26,26,22,25,33,33,33,27
31,31,31,30,28,26,29,33,33,33,28
19,19,19,21,21,21,21,34,34,34,19
31,31,31,30,31,27,28,34,34,34,30
21,21,21,22,19,23,21,33,33,33,21
25,25,25,26,25,30,26,33,33,33,27
23,23,23,26,26,30,24,33,33,33,23
24,24,24,23,21,23,24,33,33,33,26
22,22,22,21,22,23,21,34,34,34,23
28,28,28,30,28,27,27,34,34,34,28
27,27,27,26,28,31,26,33,33,33,27
21,21,21,17,19,21,20,33,33,33,21
26,26,26,25,28,26,28,33,33,33,26
23,23,23,24,22,32,23,30,30,30,21
25,25,25,28,28,24,25,31,31,31,26
19,19,19,20,18,19,19,34,34,34,18
29,29,29,30,29,27,28,33,33,33,29
28,28,28,26,24,23,28,33,33,33,29
25,25,25,24,25,31,26,33,33,33,26
23,23,23,26,25,29,23,33,33,33,24
29,29,29,30,33,27,29,34,34,34,31
25,25,25,26,25,18,26,34,34,34,25
21,21,21,23,26,29,21,33,33,33,23
27,27,27,26,22,18,27,33,33,33,26
22,22,22,23,23,26,22,33,33,33,22
26,26,26,24,26,23,28,36,36,36,27
31,31,31,32,28,24,31,38,38,38,31
22,22,22,19,21,21,21,38,38,38,23
33,33,33,33,37,28,30,38,38,38,33
23,23,23,23,26,27,23,37,37,37,21
22,22,22,21,23,24,21,37,37,37,23
28,28,28,28,26,29,29,37,37,37,28
22,22,22,23,24,27,24,38,38,38,22
31,31,31,29,27,28,30,38,38,38,29
23,23,23,25,23,31,24,38,38,38,22
23,23,23,23,22,28,24,37,37,37,23
20,20,20,18,17,25,21,37,37,37,20
23,23,23,22,22,23,22,37,37,37,22
24,24,24,26,28,23,24,38,38,38,24
